dst_port,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,bwd_urg_flags,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_header_len,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,init_bwd_win_byts,active_mean,active_std,active_min,idle_mean,idle_std,idle_max,idle_min
443,43161.15379333496,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,2803.446835072446,46.33796421607349,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,23.168982108036744,23.168982108036744,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,58847.904205322266,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,2056.1479908923693,33.98591720483255,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.992958602416277,16.992958602416277,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,48681.020736694336,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,2485.568259845335,41.083772890005534,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,20.541886445002767,20.541886445002767,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,50439.11933898926,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,2398.9316543532004,39.65176288187108,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,19.82588144093554,19.82588144093554,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,16824778.079986572,5,0,271,0,55.0,54.0,54.2,0.4,0.0,0.0,0.0,0.0,16.107196107529063,0.2971807399913111,4206194.519996643,2498539.9633291955,8015622.138977051,1593842.0295715332,16824778.079986572,4206194.519996643,2498539.9633291955,8015622.138977051,1593842.0295715332,0.0,0.0,0.0,0.0,0.0,0,0,0,0.2971807399913111,0.0,54,55,54.2,0.4,0.16,1,0,0,0,0,0,0,0.0,54.2,54.2,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,5,271,0,0,0.0,0.0,0.0,3745788.9715830483,1892222.9418365357,6421780.109405518,2399727.1060943604
443,53261.04164123535,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,2271.8293948333207,37.55089908815406,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,18.77544954407703,18.77544954407703,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,26086.091995239258,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,4638.4870536407925,76.66920749819491,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,38.334603749097454,38.334603749097454,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,55265.90347290039,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,2189.4150352455977,36.188678268522274,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,18.094339134261137,18.094339134261137,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,54301.02348327637,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,2228.3189567737263,36.8317182937806,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,18.4158591468903,18.4158591468903,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,38722.03826904297,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,3124.835504765658,51.65017363249021,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,25.825086816245104,25.825086816245104,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,6078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,40678.977966308594,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,2974.509342398312,49.16544367600516,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,24.58272183800258,24.58272183800258,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,45478.105545043945,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,2660.620941656313,43.97720564721178,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,21.98860282360589,21.98860282360589,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,29430.866241455078,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,4111.329887720549,67.95586591273634,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,33.97793295636817,33.97793295636817,55,66,60.5,5.5,30.25,1,0,0,0,0,0,0,1.0,60.5,55.0,66.0,20,0.0,0.0,0.0,0.0,0.0,0.0,1,55,1,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
